learning_rate,batch_size,hidden_size,num_layers,dropout,val_acc,val_loss,epochs,duration_min
0.001,32,64,1,0.3,63.9294,0.6695,8,0.18
0.001,32,64,1,0.5,63.7937,0.6910,8,0.18
0.001,32,64,2,0.3,63.4544,0.6705,8,0.28
0.001,32,64,2,0.5,61.8935,0.7253,8,0.27
0.001,32,100,1,0.3,62.5721,0.6531,8,0.23
0.001,32,100,1,0.5,63.9294,0.6907,8,0.23
0.001,32,100,2,0.3,61.4863,0.7160,8,0.36
0.001,32,100,2,0.5,61.9952,0.7805,8,0.36
0.001,32,128,1,0.3,63.0811,0.6652,8,0.26
0.001,32,128,1,0.5,63.0811,0.7219,8,0.25
0.001,32,128,2,0.3,62.8775,1.0692,8,0.43
0.001,32,128,2,0.5,62.8775,0.7160,8,0.42
0.001,64,64,1,0.3,61.9952,0.7102,8,0.15
0.001,64,64,1,0.5,64.3705,0.6982,8,0.15
0.001,64,64,2,0.3,62.9454,0.6853,8,0.24
0.001,64,64,2,0.5,61.5541,0.7865,8,0.23
0.001,64,100,1,0.3,61.6559,0.7034,8,0.20
0.001,64,100,1,0.5,62.8436,0.6514,8,0.20
0.001,64,100,2,0.3,61.0451,0.7583,8,0.31
0.001,64,100,2,0.5,61.8935,0.7249,8,0.31
0.001,64,128,1,0.3,61.3505,0.7426,8,0.22
0.001,64,128,1,0.5,62.7078,0.6692,8,0.22
0.001,64,128,2,0.3,61.5541,0.8118,8,0.37
0.001,64,128,2,0.5,49.4062,0.9107,8,0.33
0.001,128,64,1,0.3,61.7577,0.6602,8,0.13
0.001,128,64,1,0.5,62.8096,0.6580,8,0.14
0.001,128,64,2,0.3,61.7577,0.6887,8,0.18
0.001,128,64,2,0.5,61.9613,0.7027,8,0.18
0.001,128,100,1,0.3,62.0292,0.6921,8,0.16
0.001,128,100,1,0.5,61.5881,0.6651,8,0.17
0.001,128,100,2,0.3,61.1809,0.6932,8,0.28
0.001,128,100,2,0.5,62.0292,0.7232,8,0.25
0.001,128,128,1,0.3,61.8595,0.7330,8,0.18
0.001,128,128,1,0.5,59.9593,0.7385,8,0.20
0.001,128,128,2,0.3,62.3346,0.6780,8,0.34
0.001,128,128,2,0.5,61.0791,0.7505,8,0.34
0.0005,32,64,1,0.3,62.7078,0.6691,8,0.20
0.0005,32,64,1,0.5,62.6060,0.6941,8,0.20
0.0005,32,64,2,0.3,61.7917,0.7046,8,0.28
0.0005,32,64,2,0.5,61.5202,0.7340,8,0.28
0.0005,32,100,1,0.3,61.8595,0.7941,8,0.24
0.0005,32,100,1,0.5,61.8595,0.7537,8,0.24
0.0005,32,100,2,0.3,62.3346,0.6979,8,0.37
0.0005,32,100,2,0.5,63.4204,0.6835,8,0.37
0.0005,32,128,1,0.3,60.6379,0.7804,8,0.27
0.0005,32,128,1,0.5,62.3006,0.7577,8,0.30
0.0005,32,128,2,0.3,62.2328,0.7497,8,0.43
0.0005,32,128,2,0.5,60.6719,0.7780,8,0.42
0.0005,64,64,1,0.3,62.5721,0.6917,8,0.16
0.0005,64,64,1,0.5,62.2667,0.7285,8,0.16
0.0005,64,64,2,0.3,61.2148,0.6976,8,0.21
0.0005,64,64,2,0.5,62.8436,0.6847,8,0.20
0.0005,64,100,1,0.3,62.7418,0.6429,8,0.18
0.0005,64,100,1,0.5,61.8595,0.7053,8,0.18
0.0005,64,100,2,0.3,61.5881,0.6776,8,0.31
0.0005,64,100,2,0.5,61.4863,0.6939,8,0.31
0.0005,64,128,1,0.3,61.7238,0.7567,8,0.22
0.0005,64,128,1,0.5,61.5881,0.6998,8,0.21
0.0005,64,128,2,0.3,60.7397,0.6910,8,0.36
0.0005,64,128,2,0.5,62.4703,0.6574,8,0.36
0.0005,128,64,1,0.3,60.8076,0.6779,8,0.14
0.0005,128,64,1,0.5,60.1968,0.7146,8,0.14
0.0005,128,64,2,0.3,59.1449,0.7524,8,0.21
0.0005,128,64,2,0.5,60.3325,0.7426,8,0.20
0.0005,128,100,1,0.3,60.6719,0.6965,8,0.17
0.0005,128,100,1,0.5,60.6719,0.7132,8,0.17
0.0005,128,100,2,0.3,59.9593,0.7617,8,0.26
0.0005,128,100,2,0.5,61.8935,0.6698,8,0.27
0.0005,128,128,1,0.3,60.8755,0.6929,8,0.19
0.0005,128,128,1,0.5,61.1469,0.6970,8,0.19
0.0005,128,128,2,0.3,59.9932,0.7174,8,0.32
0.0005,128,128,2,0.5,52.0869,0.8494,8,0.32
0.0001,32,64,1,0.3,60.7058,0.7397,8,0.18
0.0001,32,64,1,0.5,59.7557,0.7894,8,0.18
0.0001,32,64,2,0.3,62.3685,0.6932,8,0.24
0.0001,32,64,2,0.5,59.0770,0.7519,8,0.25
0.0001,32,100,1,0.3,59.4842,0.7434,8,0.23
0.0001,32,100,1,0.5,59.0431,0.7881,8,0.25
0.0001,32,100,2,0.3,59.0092,0.9289,8,0.37
0.0001,32,100,2,0.5,57.3804,0.8710,8,0.38
0.0001,32,128,1,0.3,60.5701,0.7833,8,0.27
0.0001,32,128,1,0.5,60.2986,0.7462,8,0.27
0.0001,32,128,2,0.3,58.1948,0.7751,8,0.43
0.0001,32,128,2,0.5,60.0271,0.7463,8,0.43
0.0001,64,64,1,0.3,56.5660,0.8742,8,0.17
0.0001,64,64,1,0.5,59.4164,0.7658,8,0.17
0.0001,64,64,2,0.3,59.0092,0.7720,8,0.23
0.0001,64,64,2,0.5,55.9891,0.8193,8,0.23
0.0001,64,100,1,0.3,56.7357,0.8617,8,0.20
0.0001,64,100,1,0.5,56.9053,0.8243,8,0.20
0.0001,64,100,2,0.3,54.1568,0.8801,8,0.31
0.0001,64,100,2,0.5,49.4740,0.8882,8,0.31
0.0001,64,128,1,0.3,49.6776,0.8808,8,0.20
0.0001,64,128,1,0.5,47.4381,0.9118,8,0.20
0.0001,64,128,2,0.3,54.5979,0.8262,8,0.34
0.0001,64,128,2,0.5,48.8293,0.9123,8,0.34
0.0001,128,64,1,0.3,56.0231,0.9567,8,0.14
0.0001,128,64,1,0.5,47.2005,0.9990,8,0.14
0.0001,128,64,2,0.3,45.8432,0.9511,8,0.19
0.0001,128,64,2,0.5,44.1466,1.0115,8,0.21
0.0001,128,100,1,0.3,44.8931,1.0129,8,0.18
0.0001,128,100,1,0.5,52.5959,0.9603,8,0.18
0.0001,128,100,2,0.3,44.0448,0.9651,8,0.29
0.0001,128,100,2,0.5,45.9111,0.9481,8,0.30
0.0001,128,128,1,0.3,47.4041,0.9663,8,0.22
0.0001,128,128,1,0.5,44.4859,1.0358,8,0.19
0.0001,128,128,2,0.3,40.9230,0.9742,8,0.31
0.0001,128,128,2,0.5,41.1944,1.0121,8,0.32
